<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
GDAX.BTC-USD 60 20210330 150000 58860.0000000 59279.1200000 58846.6000000 59271.4300000 830
GDAX.BTC-USD 60 20210330 160000 59271.4300000 59397.4800000 59051.7200000 59150.0100000 737
GDAX.BTC-USD 60 20210330 170000 59150.0100000 59300.0000000 58850.0000000 58913.4100000 989
GDAX.BTC-USD 60 20210330 180000 58907.0600000 59015.1000000 58632.6000000 58878.9700000 748
GDAX.BTC-USD 60 20210330 190000 58878.9800000 58957.8700000 58463.5100000 58514.7000000 726
GDAX.BTC-USD 60 20210330 200000 58514.7000000 58850.0000000 58460.0000000 58720.4600000 625
GDAX.BTC-USD 60 20210330 210000 58720.4500000 58897.4500000 58680.5000000 58720.7500000 417
GDAX.BTC-USD 60 20210330 220000 58720.6100000 59114.0300000 58716.7000000 58881.2500000 825
GDAX.BTC-USD 60 20210330 230000 58879.9000000 59099.0000000 58734.4700000 59098.9900000 574
GDAX.BTC-USD 60 20210331 000000 59099.0000000 59100.0000000 58420.6100000 58665.7100000 541
GDAX.BTC-USD 60 20210331 010000 58665.7200000 58852.7100000 58584.5400000 58756.8200000 241
GDAX.BTC-USD 60 20210331 020000 58756.8200000 58950.3600000 58642.2900000 58704.5500000 485
GDAX.BTC-USD 60 20210331 030000 58704.5400000 58791.1200000 58554.4800000 58786.4600000 442
GDAX.BTC-USD 60 20210331 040000 58786.4600000 59061.7000000 58692.8400000 59046.6100000 579
GDAX.BTC-USD 60 20210331 050000 59046.6000000 59093.0000000 58840.0200000 58933.0300000 633
GDAX.BTC-USD 60 20210331 060000 58933.0400000 58933.0400000 58680.0000000 58680.0000000 369
GDAX.BTC-USD 60 20210331 070000 58680.0100000 58745.5800000 58426.0300000 58635.3800000 405
GDAX.BTC-USD 60 20210331 080000 58635.3800000 58797.6700000 58501.0100000 58740.7700000 347
GDAX.BTC-USD 60 20210331 090000 58737.0600000 58743.9200000 58553.9300000 58715.0000000 232
GDAX.BTC-USD 60 20210331 100000 58715.0000000 59795.9900000 58682.8200000 59702.7500000 977
GDAX.BTC-USD 60 20210331 110000 59704.6000000 59800.0000000 57501.0000000 58177.1000000 1289
GDAX.BTC-USD 60 20210331 120000 58184.0400000 58261.1200000 56873.8000000 58016.0800000 1370
GDAX.BTC-USD 60 20210331 130000 58003.0100000 58280.7300000 57700.9400000 57967.8500000 415
